Issue Key,Issue Type,Summary,Status,Assignee,Priority,Story Points,Sprint,Sprint Start,Sprint End,In Progress Date,Done Date,Created Date,Epic Link,Parent Key,Fix Version/s,Labels,Blocked Flag
DC-1,Epic,User Authentication,Done,Ali Abu Ras,High,0,,,,01/Jan/2025,10/Feb/2025,01/Jan/2025,,,v1.0,auth,
DC-2,Epic,Dashboard Analytics,Done,Sara Ahmed,High,0,,,,01/Jan/2025,14/Feb/2025,01/Jan/2025,,,v1.0,dashboard,
DC-3,Epic,Data Export & Reporting,In Progress,Ahmed Nasser,High,0,,,,15/Jan/2025,,01/Jan/2025,,,v2.0,export,
DC-4,Story,User login page with email and password,Done,Ali Abu Ras,High,5,Sprint 1,01/Jan/2025,14/Jan/2025,03/Jan/2025,12/Jan/2025,01/Jan/2025,DC-1,,v1.0,auth frontend,
DC-5,Task,Implement bcrypt password hashing,Done,Ali Abu Ras,High,3,Sprint 1,01/Jan/2025,14/Jan/2025,03/Jan/2025,11/Jan/2025,01/Jan/2025,DC-1,DC-4,v1.0,auth backend,
DC-6,Task,Session management with iron-session,Done,Ali Abu Ras,Medium,2,Sprint 1,01/Jan/2025,14/Jan/2025,05/Jan/2025,13/Jan/2025,01/Jan/2025,DC-1,DC-4,v1.0,auth backend,
DC-7,Story,Dashboard KPI cards — health score and metrics,Done,Sara Ahmed,High,8,Sprint 1,01/Jan/2025,14/Jan/2025,03/Jan/2025,14/Jan/2025,01/Jan/2025,DC-2,,v1.0,dashboard ui,
DC-8,Task,Health score calculation algorithm,Done,Sara Ahmed,High,5,Sprint 1,01/Jan/2025,14/Jan/2025,04/Jan/2025,13/Jan/2025,01/Jan/2025,DC-2,DC-7,v1.0,dashboard backend,
DC-9,Bug,Login page crashes on empty password submission,Done,Ali Abu Ras,Critical,2,Sprint 1,01/Jan/2025,14/Jan/2025,06/Jan/2025,10/Jan/2025,05/Jan/2025,DC-1,,v1.0,bug auth,
DC-10,Story,User registration with email validation,Done,Ali Abu Ras,High,5,Sprint 2,15/Jan/2025,28/Jan/2025,16/Jan/2025,25/Jan/2025,15/Jan/2025,DC-1,,v1.0,auth frontend,
